Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
AFX,HOSE,CTCP Xuất nhập khẩu Nông sản Thực phẩm An Giang,An Giang Agriculture and Foods Import-Export Joint Stock Company,https://afiex.com.vn,https://afiex.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000AFX5,10000,Đang giao dịch
AGG,HOSE,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,An Gia Real Estate Investment and Development Corporation,https://angia.com.vn,https://angia.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000AGG8,10400,Đang giao dịch
AGR,HOSE,Công ty Cổ phần Chứng khoán Agribank,Agribank Securities Corporation,https://agriseco.com.vn,https://agriseco.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000AGR5,12850,Đang giao dịch
ANT,HOSE,Công ty cổ phần Rau quả thực phẩm An Giang,AN GIANG FRUIT-VEGETABLES & FOODSTUFF JOINT STOCK COMPANY,http://antesco.com,http://antesco.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000ANT7,18150,Đang giao dịch
ANV,HOSE,Công ty Cổ phần Nam Việt,Nam Viet Corporation,https://navicorp.com.vn,https://navicorp.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000ANV3,16300,Đang giao dịch
APG,HOSE,Công ty Cổ phần Chứng khoán APG,APG Securities Joint Stock Company,https://apsi.vn,https://apsi.vn/quan-he-co-dongBIDNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000APG9,4730,Đang giao dịch
APH,HOSE,Công ty Cổ phần Tập đoàn An Phát Holdings,An Phat Holdings Joint Stock Company,https://anphatholdings.vn,https://anphatholdings.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000APH7,6400,Đang giao dịch
ASG,HOSE,Công ty Cổ phần Tập đoàn ASG,ASG Corporation,https://asg.net.vn,https://asg.net.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000ASG3,16000,Đang giao dịch
ASM,HOSE,Công ty Cổ phần Tập đoàn Sao Mai,Sao Mai Group Corporation,https://saomaigroup.com,https://saomaigroup.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000ASM1,5290,Đang giao dịch
ASP,HOSE,Công ty Cổ phần Tập đoàn Dầu khí An Pha,An Pha Petroleum Group Joint Stock Company,https://anphapetrol.com,https://anphapetrol.com/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000ASP4,13500,Đang giao dịch
AST,HOSE,Công ty Cổ phần Dịch vụ Hàng không Taseco,Taseco Air Services Joint Stock Company,https://tasecoairs.vn,https://tasecoairs.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000AST6,64900,Đang giao dịch
BAF,HOSE,Công ty Cổ phần Nông nghiệp BAF Việt Nam,BAF Viet Nam Agriculture Joint Stock Company,https://baf.vn,https://baf.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000BAF1,32100,Đang giao dịch
BCE,HOSE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Binh Duong Construction and Civil Engineering Joint Stock Company,https://becamexbce.com.vn,https://becamexbce.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000BCE0,5620,Đang giao dịch
BCM,HOSE,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Becamex Investment and Industrial Development Group,https://becamex.com.vn,https://becamex.com.vn/quan-he-co-dong,Bất động sản,Bất động sản khu công nghiệp,VN000000BCM3,41300,Đang giao dịch
BFC,HOSE,Công ty Cổ phần Phân bón Bình Điền,Binh Dien Fertilizer Joint Stock Company,https://binhdien.com,https://binhdien.com/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000BFC7,47100,Đang giao dịch
BHN,HOSE,Tổng Công ty Cổ phần Bia – Rượu – Nước giải khát Hà Nội,Hanoi Beer Alcohol and Beverage Joint Stock Corporation,http://habeco.com.vn,http://habeco.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000BHN0,31400,Đang giao dịch
BIC,HOSE,Tổng Công ty Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,BIDV Insurance Corporation,https://bic.vn,https://bic.vn/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000BIC1,21550,Đang giao dịch
BID,HOSE,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,Joint Stock Commercial Bank for Investment and Development of Vietnam,https://bidv.com.vn,https://bidv.com.vn/vn/quan-he-nha-dau-tu,Tài chính,Ngân hàng,VN000000BID9,36400,Đang giao dịch
BKG,HOSE,Công ty Cổ phần Đầu tư BKG Việt Nam,BKG Viet Nam Investment Joint Stock Company,https://bkgvietnam.com,https://bkgvietnam.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000BKG8,1910,Đang giao dịch
BMC,HOSE,Công ty Cổ phần Khoáng sản Bình Định,Binh Dinh Minerals Joint Stock Company,http://bimico.vn,http://bimico.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000BMC3,11000,Đang giao dịch
BMI,HOSE,Tổng Công ty Cổ phần Bảo Minh,Baominh Insurance Corporation,https://baominh.com.vn,https://baominh.com.vn/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000BMI0,13950,Đang giao dịch
BMP,HOSE,Công ty Cổ phần Nhựa Bình Minh,Binh Minh Plastics Joint Stock Company,https://binhminhplastic.com.vn,https://binhminhplastic.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000BMP5,140200,Đang giao dịch
BRC,HOSE,Công ty Cổ phần Cao su Bến Thành,BenThanh Rubber Joint Stock Company,https://berubco.com.vn,https://berubco.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000BRC2,11100,Đang giao dịch
BSI,HOSE,Công ty Cổ phần Chứng khoán BIDV,BIDV Securities Joint Stock Company,https://bsc.com.vn,https://bsc.com.vn/quan-he-nha-dau-tu,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000BSI7,28300,Đang giao dịch
BSR,HOSE,CÔNG TY CỔ PHẦN – TỔNG CÔNG TY LỌC HÓA DẦU VIỆT NAM,PETROVIETNAM REFINING AND PETROCHEMICAL CORPORATION,https://bsr.com.vn,https://bsr.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000BSR8,27350,Đang giao dịch
BTP,HOSE,Công ty Cổ phần Nhiệt điện Bà Rịa,Ba Ria Thermal Power Joint Stock Company,https://btp.com.vn,https://btp.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000BTP0,7310,Đang giao dịch
BTT,HOSE,Công ty Cổ phần Thương mại – Dịch vụ Bến Thành,Ben Thanh Trading & Service Joint Stock Company,https://benthanhtsc.com,https://benthanhtsc.com/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000BTT2,40000,Đang giao dịch
BVB,HOSE,Ngân hàng Thương mại Cổ phần Bản Việt,Viet Capital Commercial Joint Stock Bank,https://bvbank.net.vn,https://bvbank.net.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000BVB6,11600,Đang giao dịch
BVH,HOSE,Tập đoàn Bảo Việt,BaoViet Holdings,https://baoviet.com.vn,https://baoviet.com.vn/quan-he-co-dongCTGNg,Tài chính,Bảo hiểm,VN000000BVH3,63500,Đang giao dịch
BWE,HOSE,Công ty Cổ phần - Tổng Công ty Nước – Môi trường Bình Dương,Binh Duong Water - Environment Corporation - Joint Stock Company,https://biwase.com.vn,https://biwase.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000BWE8,42050,Đang giao dịch
C32,HOSE,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ XÂY DỰNG 3-2,3-2 Investment and Construction Joint Stock Company,https://c32.vn,https://c32.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000C325,16900,Đang giao dịch
C47,HOSE,Công ty Cổ phần Xây dựng 47,Construction Joint Stock Company 47,https://xaydung47.vn,https://xaydung47.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000C473,8880,Đang giao dịch
CCC,HOSE,Công ty Cổ phần Xây dựng CDC,CDC Construction Joint Stock Company,https://cdcxd.com.vn,https://cdcxd.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000CCC2,7110,Đang giao dịch
CCI,HOSE,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,Cuchi Commercial And Industrial Developing Investment Joint Stock Company,http://cidico.com.vn,http://cidico.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000CCI9,16500,Đang giao dịch
CCL,HOSE,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,Cuu Long Petro Urban Development and Investment Corporation,https://beta.dothi5a.com,https://beta.dothi5a.com/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000CCL3,3530,Đang giao dịch
CDC,HOSE,Công ty Cổ phần Chương Dương,Chuong Duong Corporation,http://chuongduongcorp.vn,http://chuongduongcorp.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CDC0,19300,Đang giao dịch
CHP,HOSE,Công ty Cổ phần Thủy điện Miền Trung,Central Hydropower Joint Stock Company,https://chp.vn,https://chp.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000CHP3,26000,Đang giao dịch
CIG,HOSE,Công ty Cổ phần COMA18,Coma18 Joint Stock Company,https://coma18.vn,https://coma18.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CIG0,7360,Đang giao dịch
CII,HOSE,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TP.HCM,Ho Chi Minh City Infrastructure Investment Joint Stock Company,https://cii.com.vn,https://cii.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000CII6,14350,Đang giao dịch
CKG,HOSE,Công ty Cổ phần Tập đoàn CIC,CIC Group Joint Stock Company,https://cicgroups.com,https://cicgroups.com/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000CKG6,5750,Đang giao dịch
CLC,HOSE,Công ty Cổ phần Cát Lợi,Cat Loi Joint Stock Company,http://catloi.com.vn,http://catloi.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CLC3,56000,Đang giao dịch
CLL,HOSE,Công ty Cổ phần Cảng Cát Lái,Cat Lai Port Joint Stock Company,http://catlaiport.com.vn,http://catlaiport.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000CLL4,27450,Đang giao dịch
CLW,HOSE,Công ty Cổ phần Cấp nước Chợ Lớn,Cho Lon Water Supply Joint Stock Company,https://capnuoccholon.com.vn,https://capnuoccholon.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Nước & Xử lý chất thải,VN000000CLW1,44800,Đang giao dịch
CMG,HOSE,Công ty Cổ phần Tập đoàn Công nghệ CMC,CMC Corporation,https://cmc.com.vn,https://cmc.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000CMG2,23100,Đang giao dịch
CMV,HOSE,Công ty Cổ phần Thương nghiệp Cà Mau,Camau Trading Joint Stock Company,https://tncm.com.vn,https://tncm.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CMV1,8980,Đang giao dịch
CMX,HOSE,Công ty Cổ phần Camimex Group,Camimex Group Joint Stock Company,https://camimex.com.vn,https://camimex.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000CMX7,4610,Đang giao dịch
CNG,HOSE,Công ty Cổ phần CNG Việt Nam,CNG Viet Nam Joint Stock Company,https://cngvietnam.com,https://cngvietnam.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CNG0,22000,Đang giao dịch
COM,HOSE,Công ty Cổ phần Vật tư - Xăng dầu,Materials Petroleum Joint Stock Company,http://comeco.vn,http://comeco.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000COM6,24950,Đang giao dịch
CRC,HOSE,Công ty Cổ phần Create Capital Việt Nam,Create Capital Vietnam Joint Stock Company Limited,https://createcapital.vn,https://createcapital.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CRC0,5230,Đang giao dịch
CRE,HOSE,Công ty Cổ phần Bất động sản Thế Kỷ,Century Land Joint Stock Company,https://cenland.vn,https://cenland.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000CRE6,6350,Đang giao dịch
CRV,HOSE,Công ty Cổ phần Tập đoàn Bất động sản CRV,CRV Real Estate Group Joint Stock Company,https://crvgroup.vn,https://crvgroup.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000CRV0,22750,Đang giao dịch
CSM,HOSE,Công ty Cổ phần Công nghiệp Cao su Miền Nam,The Southern Rubber Industry Joint Stock Company,http://casumina.com,http://casumina.com/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000CSM7,13150,Đang giao dịch
CSV,HOSE,Công ty Cổ phần Hóa chất cơ bản miền Nam,South Basic Chemicals Joint Stock Company,https://sochemvn.com,https://sochemvn.com/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000CSV8,21300,Đang giao dịch
CTD,HOSE,Công ty Cổ phần Xây dựng COTECCONS,Coteccons Construction Joint Stock Company,https://coteccons.vn,https://coteccons.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000CTD4,60100,Đang giao dịch
CTF,HOSE,Công ty Cổ phần City Auto,City Auto Corporation,https://cityautogroup.vn,https://cityautogroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CTF9,21100,Đang giao dịch
CTG,HOSE,Ngân hàng Thương mại Cổ phần Công Thương Việt Nam,Viet Nam Joint Stock Commercial Bank for Industry and Trade,https://vietinbank.vn,https://investor.vietinbank.vn,Tài chính,Ngân hàng,VN000000CTG7,30700,Đang giao dịch
CTI,HOSE,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Cuongthuan Idico Development Investment Corporation,http://cuongthuan.vn,http://cuongthuan.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CTI3,16450,Đang giao dịch
CTR,HOSE,Tổng Công ty Cổ phần Công trình Viettel,Viettel Construction Joint Stock Corporation,https://viettelconstruction.com.vn,https://viettelconstruction.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000CTR4,74200,Đang giao dịch
CTS,HOSE,Công ty Cổ phần Chứng khoán VIETINBANK,Vietinbank Securities Joint Stock Company,https://vietinbanksc.com.vn,https://vietinbanksc.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000CTS2,22000,Đang giao dịch
CVT,HOSE,Công ty Cổ phần CMC,CMC Joint Stock Company,https://cmctiles.vn,https://cmctiles.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000CVT6,26650,Đang giao dịch
D2D,HOSE,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Industrial Urban Development Joint Stock Company No.2,https://d2d.com.vn,https://d2d.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000D2D0,29500,Đang giao dịch
DAH,HOSE,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Dong A Hotel Group Joint Stock Company,https://mayplazahotel.com,https://mayplazahotel.com/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Du lịch & Giải trí,VN000000DAH3,2260,Đang giao dịch
DAT,HOSE,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,Travel Investment And Seafood Development Corporation,http://trisedco.com,http://trisedco.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000DAT8,7940,Đang giao dịch
DBC,HOSE,Công ty Cổ phần Tập đoàn DABACO Việt Nam,DABACO Group,https://dabaco.com.vn,https://dabaco.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000DBC2,16600,Đang giao dịch
DBD,HOSE,Công ty Cổ phần Dược - Trang thiết bị Y tế Bình Định,Binh Dinh Pharmaceutical and Medical Equipment Joint Stock Company,https://bidiphar.com,https://bidiphar.com/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DBD0,46500,Đang giao dịch
DBT,HOSE,Công ty Cổ phần Dược phẩm Bến Tre,BenTre Pharmaceutical Joint Stock Company,https://bepharco.com,https://bepharco.com/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DBT6,13000,Đang giao dịch
DC4,HOSE,Công ty Cổ phần DICERA HOLDINGS,DICERA Holdings Joint Stock Company,https://dicera.vn,https://dicera.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DC49,6630,Đang giao dịch
DCL,HOSE,Công ty Cổ phần Dược phẩm Cửu Long,Cuu Long Pharmaceutical Joint Stock Company,http://dcl.com.vn,http://dcl.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DCL1,38000,Đang giao dịch
DCM,HOSE,Công ty Cổ phần - Tổng Công ty phân bón Dầu khí Cà Mau,PetroVietnam Ca Mau Fertilizer Corporation,https://pvcfc.com.vn,https://pvcfc.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000DCM9,32650,Đang giao dịch
DGC,HOSE,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Duc Giang Chemicals Group Joint Stock Company,https://ducgiangchem.vn,https://ducgiangchem.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000DGC1,46600,Tạm ngừng / Khác
DGW,HOSE,Công ty Cổ phần Thế Giới Số,Digiworld Corp.,https://digiworld.com.vn,https://digiworld.com.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000DGW9,41850,Đang giao dịch
DHA,HOSE,Công ty Cổ phần Hóa An,Hoa An Joint Stock Company,http://hoaan.com.vn,http://hoaan.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DHA3,51900,Đang giao dịch
DHC,HOSE,Công ty Cổ phần Đông Hải Bến Tre,Dong Hai Joint Stock Company of Bentre,https://dohacobentre.com.vn,https://dohacobentre.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DHC9,36300,Đang giao dịch
DHG,HOSE,Công ty Cổ phần Dược Hậu Giang,DHG Pharmaceutical Joint Stock Company,https://dhgpharma.com.vn,https://dhgpharma.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DHG0,95700,Đang giao dịch
DHM,HOSE,Công ty Cổ phần Đầu tư và Thương mại DHM,DHM Investment and Trading Joint stock company,https://dhmjsc.vn,https://dhmjsc.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000DHM8,6990,Đang giao dịch
DIG,HOSE,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Development Investment Construction Joint Stock Company,https://dic.vn,https://dic.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000DIG8,10250,Đang giao dịch
DLG,HOSE,Công ty Cổ phần Tập đoàn Đức Long Gia Lai,DUC LONG GIA LAI GROUP JSC,http://duclonggroup.com,http://duclonggroup.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DLG2,2150,Đang giao dịch
DMC,HOSE,Công ty Cổ phần Xuất nhập khẩu Y tế DOMESCO,Domesco Medical Import Export Joint Stock Corporation,https://domesco.com,https://domesco.com/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000DMC9,59600,Đang giao dịch
DMX,HOSE,Công ty cổ phần Đầu tư Điện Máy Xanh,Dien May Xanh Investment Joint Stock Company,https://dmx.vn,https://dmx.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000DMX5,75000,Đang giao dịch
DPG,HOSE,Công ty Cổ phần Tập đoàn Đạt Phương,Dat Phuong Group Joint Stock Company,https://datphuong.com.vn,https://datphuong.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DPG3,27750,Đang giao dịch
DPM,HOSE,Tổng Công ty Phân bón và Hóa chất Dầu khí - Công ty Cổ phần,Petrovietnam Fertilizer And Chemicals Corporation,https://dpm.vn,https://dpm.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000DPM1,22800,Đang giao dịch
DPR,HOSE,Công ty Cổ phần Cao su Đồng Phú,Dong Phu Rubber Joint Stock Company,http://doruco.com.vn,http://doruco.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000DPR0,38400,Đang giao dịch
DQC,HOSE,Công ty Cổ phần Tập đoàn Điện Quang,Dien Quang Group Joint Stock Company,https://dqc.vn,https://dqc.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000DQC0,9660,Đang giao dịch
DRC,HOSE,Công ty Cổ phần Cao su Đà Nẵng,Danang Rubber Joint Stock Company,https://drc.com.vn,https://drc.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000DRC8,10000,Đang giao dịch
DRH,HOSE,Công ty Cổ phần DRH Holdings,DRH Holdings Joint Stock Company,https://drh.vn,https://drh.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DRH7,1700,Tạm ngừng / Khác
DRL,HOSE,Công ty Cổ phần Thủy điện - Điện lực 3,Hydro Power Joint Stock Company - Power No.3,https://pc3hp.com.vn,https://pc3hp.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000DRL9,41650,Đang giao dịch
DSC,HOSE,Công ty Cổ phần Chứng khoán DSC,DSC Securities Corporation,https://dsc.com.vn,https://dsc.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000DSC6,10500,Đang giao dịch
DSE,HOSE,Công ty Cổ phần Chứng khoán DNSE,DNSE Securities Join Stock Company,https://dnse.com.vn,https://dnse.com.vn/quan-he-co-dongEIBNg,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000DSE2,22300,Đang giao dịch
DSN,HOSE,Công ty Cổ phần Công viên nước Đầm Sen,Dam Sen Water Park Corporation,https://damsenwaterpark.com.vn,https://damsenwaterpark.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Nước & Xử lý chất thải,VN000000DSN3,36950,Đang giao dịch
DTA,HOSE,Công ty Cổ phần Đệ Tam,De Tam Joint Stock Company,http://detamland.com,http://detamland.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000DTA8,3350,Đang giao dịch
