Mã CK,Tên Doanh Nghiệp,Tên thương hiệu / Viết tắt,Sàn giao dịch,Ngành ICB Cấp 1 (Industry),Ngành ICB Cấp 2 (Supersector),Ngành ICB Cấp 3 (Sector),Ngành ICB Cấp 4 (Subsector),Mã Phân Ngành (ICB Code L4),Nguồn tham khảo (Source),Trang chủ (Website),Cổng thông tin IR (Quan hệ CĐ)
ACL,Công ty Cổ phần Xuất nhập khẩu Thủy sản Cửu Long An Giang,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://clfish.com,https://clfish.com/quan-he-co-dong
ADG,Công ty Cổ phần Clever Group,Clever Group,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,5555,FiinPro / Vietcap IQ & Sở GDCK,https://clevergroup.vn,https://clevergroup.vn/quan-he-co-dong
ADP,Công ty Cổ phần Sơn Á Đông,Sơn Á Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://adongpaint.com.vn,http://adongpaint.com.vn/quan-he-co-dong
ADS,Công ty Cổ phần DAMSAN,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng cá nhân,Hàng May mặc,3763,FiinPro / Vietcap IQ & Sở GDCK,http://damsanjsc.vn,http://damsanjsc.vn/quan-he-co-dong
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,XNK Nông sản Thực phẩm An Giang,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Phân phối thực phẩm & dược phẩm,Phân phối thực phẩm,5337,FiinPro / Vietcap IQ & Sở GDCK,https://afiex.com.vn,https://afiex.com.vn/quan-he-co-dong
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản An Gia,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://angia.com.vn,https://angia.com.vn/quan-he-co-dong
AGR,Công ty Cổ phần Chứng khoán AGRIBANK,Agriseco,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://agriseco.com.vn,https://agriseco.com.vn/quan-he-co-dong
ANT,Công ty Cổ phần Rau quả Thực phẩm An Giang,Rau quả thực phẩm An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,3577,FiinPro / Vietcap IQ & Sở GDCK,http://antesco.com,http://antesco.com/quan-he-co-dong
ANV,Công ty Cổ phần Nam Việt,Thủy sản Nam Việt,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://navicorp.com.vn,https://navicorp.com.vn/quan-he-co-dong
APG,Công ty Cổ phần Chứng khoán APG,Chứng khoán APG,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://apsi.vn,https://apsi.vn/quan-he-co-dongBIDNg
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,Tập đoàn An Phát Holdings,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2723,FiinPro / Vietcap IQ & Sở GDCK,https://anphatholdings.vn,https://anphatholdings.vn/quan-he-co-dong
ASG,Công ty Cổ phần Tập đoàn ASG,Tập đoàn ASG,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,https://asg.net.vn,https://asg.net.vn/quan-he-co-dong
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Tập đoàn Sao Mai,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://saomaigroup.com,https://saomaigroup.com/quan-he-co-dong
ASP,Công ty Cổ phần Tập đoàn Dầu khí An Pha,Dầu khí An Pha,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,7573,FiinPro / Vietcap IQ & Sở GDCK,https://anphapetrol.com,https://anphapetrol.com/quan-he-co-dong
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Dịch vụ Hàng không Taseco,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,5379,FiinPro / Vietcap IQ & Sở GDCK,https://tasecoairs.vn,https://tasecoairs.vn/quan-he-co-dong
ATP,Công ty Cổ phần Thương mại và Dịch vụ An Thành,T.Mại và DV An Thành,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,,https://finance.vietstock.vn/ATP/ho-so-doanh-nghiep.htm
BAF,Công ty Cổ phần Nông nghiệp BAF Việt Nam,Nông nghiệp BAF Việt Nam,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://baf.vn,https://baf.vn/quan-he-co-dong
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,XD và GT Bình Dương,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://becamexbce.com.vn,https://becamexbce.com.vn/quan-he-co-dong
BCM,Tập đoàn Đầu tư và Phát triển Công nghiệp Becamex - CTCP,Becamex Group,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://becamex.com.vn,https://becamex.com.vn/quan-he-co-dong
BFC,Công ty Cổ phần Phân bón Bình Điền,Phân bón Bình Điền,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,https://binhdien.com,https://binhdien.com/quan-he-co-dong
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,HABECO,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,3533,FiinPro / Vietcap IQ & Sở GDCK,http://habeco.com.vn,http://habeco.com.vn/quan-he-co-dong
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm BIDV,HOSE,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,8536,FiinPro / Vietcap IQ & Sở GDCK,https://bic.vn,https://bic.vn/quan-he-co-dong
BID,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam,BIDV,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,FiinPro / Vietcap IQ & Sở GDCK,https://bidv.com.vn,https://bidv.com.vn/vn/quan-he-nha-dau-tu
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Đầu tư BKG Việt Nam,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Hàng gia dụng,Thiết bị gia dụng,3726,FiinPro / Vietcap IQ & Sở GDCK,https://bkgvietnam.com,https://bkgvietnam.com/quan-he-co-dong
BMC,Công ty Cổ phần Khoáng sản Bình Định,Khoáng sản Bình Định,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Khai khoáng,Khai khoáng,1775,FiinPro / Vietcap IQ & Sở GDCK,http://bimico.vn,http://bimico.vn/quan-he-co-dong
BMI,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm Bảo Minh,HOSE,Tài chính,Bảo hiểm,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,8536,FiinPro / Vietcap IQ & Sở GDCK,https://baominh.com.vn,https://baominh.com.vn/quan-he-co-dong
BMP,Công ty Cổ phần Nhựa Bình Minh,Nhựa Bình Minh,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://binhminhplastic.com.vn,https://binhminhplastic.com.vn/quan-he-co-dong
BRC,Công ty Cổ phần Cao su Bến Thành,Cao su Bến Thành,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Nhựa, cao su & sợi",1353,FiinPro / Vietcap IQ & Sở GDCK,https://berubco.com.vn,https://berubco.com.vn/quan-he-co-dong
BSI,Công ty Cổ phần Chứng khoán BIDV,Chứng khoán BIDV,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://bsc.com.vn,https://bsc.com.vn/quan-he-nha-dau-tu
BSR,Công ty Cổ phần - Tổng Công ty Lọc Hoá dầu Việt Nam,Lọc Hoá dầu Việt Nam,HOSE,Dầu khí,Dầu khí,Sản xuất Dầu khí,Sản xuất và Khai thác dầu khí,533,FiinPro / Vietcap IQ & Sở GDCK,https://bsr.com.vn,https://bsr.com.vn/quan-he-co-dong
BTP,Công ty Cổ phần Nhiệt điện Bà Rịa,Nhiệt điện Bà Rịa,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,https://btp.com.vn,https://btp.com.vn/quan-he-co-dong
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,TM - DV Bến Thành,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,5373,FiinPro / Vietcap IQ & Sở GDCK,https://benthanhtsc.com,https://benthanhtsc.com/quan-he-co-dong
BVB,Ngân hàng Thương mại Cổ phần Bản Việt,Ngân hàng Bản Việt - BVBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,FiinPro / Vietcap IQ & Sở GDCK,https://bvbank.net.vn,https://bvbank.net.vn/quan-he-co-dong
BVH,Tập đoàn Bảo Việt,Tập đoàn Bảo Việt,HOSE,Tài chính,Bảo hiểm,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,8575,FiinPro / Vietcap IQ & Sở GDCK,https://baoviet.com.vn,https://baoviet.com.vn/quan-he-co-dongCTGNg
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,Nước - Môi trường Bình Dương,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://biwase.com.vn,https://biwase.com.vn/quan-he-co-dong
C32,Công ty Cổ phần Đầu tư và Xây dựng 3-2,Đầu tư và Xây dựng 3-2,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://c32.vn,https://c32.vn/quan-he-co-dong
C47,Công ty Cổ phần Xây dựng 47,Xây dựng 47,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://xaydung47.vn,https://xaydung47.vn/quan-he-co-dong
CCC,Công ty Cổ Phần Xây Dựng CDC,Xây Dựng CDC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://cdcxd.com.vn,https://cdcxd.com.vn/quan-he-co-dong
CCI,Công ty Cổ phần Đầu tư Phát triển Công nghiệp Thương mại Củ Chi,CIDICO,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,7573,FiinPro / Vietcap IQ & Sở GDCK,http://cidico.com.vn,http://cidico.com.vn/quan-he-co-dong
CCL,Công ty Cổ phần Đầu tư và Phát triển Đô thị Dầu khí Cửu Long,ĐT & PT Đô thị Dầu khí Cửu Long,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://beta.dothi5a.com,https://beta.dothi5a.com/quan-he-co-dong
CDC,Công ty Cổ phần Chương Dương,Chương Dương Corp,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://chuongduongcorp.vn,http://chuongduongcorp.vn/quan-he-co-dong
CHP,Công ty Cổ phần Thủy điện Miền Trung,Thủy điện Miền Trung,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,Sản xuất & Phân phối Điện,7535,FiinPro / Vietcap IQ & Sở GDCK,https://chp.vn,https://chp.vn/quan-he-co-dong
CIG,Công ty Cổ phần COMA 18,Xây dựng COMA 18,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://coma18.vn,https://coma18.vn/quan-he-co-dong
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Hạ tầng Kỹ thuật TP.HCM,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://cii.com.vn,https://cii.com.vn/quan-he-co-dong
CKG,Công ty Cổ phần Tập đoàn CIC,Tập đoàn CIC,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://cicgroups.com,https://cicgroups.com/quan-he-co-dong
CLC,Công ty Cổ phần Cát Lợi,Thuốc lá Cát Lợi,HOSE,Hàng Tiêu dùng,Hàng cá nhân & Gia dụng,Thuốc lá,Thuốc lá,3785,FiinPro / Vietcap IQ & Sở GDCK,http://catloi.com.vn,http://catloi.com.vn/quan-he-co-dong
CLL,Công ty Cổ phần Cảng Cát Lái,Cảng Cát Lái,HOSE,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,FiinPro / Vietcap IQ & Sở GDCK,http://catlaiport.com.vn,http://catlaiport.com.vn/quan-he-co-dong
CLW,Công ty Cổ phần Cấp nước Chợ Lớn,Cấp nước Chợ Lớn,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Nước,7577,FiinPro / Vietcap IQ & Sở GDCK,https://capnuoccholon.com.vn,https://capnuoccholon.com.vn/quan-he-co-dong
CMG,Công ty Cổ phần Tập đoàn Công nghệ CMC,Tập đoàn Công nghệ CMC,HOSE,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Dịch vụ Máy tính,9533,FiinPro / Vietcap IQ & Sở GDCK,https://cmc.com.vn,https://cmc.com.vn/quan-he-co-dong
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Thương nghiệp Cà Mau,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Bán lẻ phức hợp,5373,FiinPro / Vietcap IQ & Sở GDCK,https://tncm.com.vn,https://tncm.com.vn/quan-he-co-dong
CMX,Công ty Cổ phần CAMIMEX Group,CAMIMEX Group,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://camimex.com.vn,https://camimex.com.vn/quan-he-co-dong
CNG,Công ty Cổ phần CNG Việt Nam,CNG Việt Nam,HOSE,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,7573,FiinPro / Vietcap IQ & Sở GDCK,https://cngvietnam.com,https://cngvietnam.com/quan-he-co-dong
COM,Công ty Cổ phần Vật tư - Xăng dầu,Vật tư - Xăng dầu,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,5379,FiinPro / Vietcap IQ & Sở GDCK,http://comeco.vn,http://comeco.vn/quan-he-co-dong
CRC,Công ty Cổ phần Create Capital Việt Nam,Create Capital Việt Nam,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://createcapital.vn,https://createcapital.vn/quan-he-co-dong
CRE,Công ty Cổ phần Bất động sản Thế Kỷ,Bất động sản Thế Kỷ,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://cenland.vn,https://cenland.vn/quan-he-co-dong
CRV,Công ty Cổ phần Tập đoàn Bất động sản CRV,Tập đoàn Bất động sản CRV,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://crvgroup.vn,https://crvgroup.vn/quan-he-co-dong
CSM,Công ty Cổ phần Công nghiệp Cao su Miền Nam,Cao su Miền Nam,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Lốp xe,3357,FiinPro / Vietcap IQ & Sở GDCK,http://casumina.com,http://casumina.com/quan-he-co-dong
CSV,Công ty Cổ phần Hóa chất Cơ bản miền Nam,Hóa chất Cơ bản miền Nam,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,https://sochemvn.com,https://sochemvn.com/quan-he-co-dong
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng Coteccons,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://coteccons.vn,https://coteccons.vn/quan-he-co-dong
CTF,Công ty Cổ phần City Auto,City Auto,HOSE,Hàng Tiêu dùng,Ô tô và phụ tùng,Ô tô và phụ tùng,Sản xuất ô tô,3353,FiinPro / Vietcap IQ & Sở GDCK,https://cityautogroup.vn,https://cityautogroup.vn/quan-he-co-dong
CTG,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VietinBank,HOSE,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,FiinPro / Vietcap IQ & Sở GDCK,https://vietinbank.vn,https://investor.vietinbank.vn
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Cường Thuận IDICO,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,http://cuongthuan.vn,http://cuongthuan.vn/quan-he-co-dong
CTR,Tổng Công ty Cổ phần Công trình Viettel,Công trình Viettel,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://viettelconstruction.com.vn,https://viettelconstruction.com.vn/quan-he-co-dong
CTS,Công ty Cổ phần Chứng khoán Vietinbank,Chứng khoán Vietinbank,HOSE,Tài chính,Dịch vụ tài chính,Dịch vụ tài chính,Môi giới chứng khoán,8777,FiinPro / Vietcap IQ & Sở GDCK,https://vietinbanksc.com.vn,https://vietinbanksc.com.vn/quan-he-co-dong
CVT,Công ty Cổ phần CMC,CMC JSC,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,https://cmctiles.vn,https://cmctiles.vn/quan-he-co-dong
D2D,Công ty Cổ phần Phát triển Đô thị Công nghiệp số 2,Phát triển Đô thị số 2,HOSE,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,FiinPro / Vietcap IQ & Sở GDCK,https://d2d.com.vn,https://d2d.com.vn/quan-he-co-dong
DAH,Công ty Cổ phần Tập đoàn Khách sạn Đông Á,Tập đoàn Khách sạn Đông Á,HOSE,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Khách sạn,5753,FiinPro / Vietcap IQ & Sở GDCK,https://mayplazahotel.com,https://mayplazahotel.com/quan-he-co-dong
DAT,Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,ĐT Du lịch và PT Thủy sản,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,http://trisedco.com,http://trisedco.com/quan-he-co-dong
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Tập đoàn DABACO,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,3573,FiinPro / Vietcap IQ & Sở GDCK,https://dabaco.com.vn,https://dabaco.com.vn/quan-he-co-dong
DBD,Công ty Cổ phần Dược - Trang thiết bị y tế Bình Định (BIDIPHAR),Dược - TB Y tế Bình Định,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://bidiphar.com,https://bidiphar.com/quan-he-co-dong
DBT,Công ty Cổ phần Dược phẩm Bến Tre,Dược phẩm Bến Tre,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,https://bepharco.com,https://bepharco.com/quan-he-co-dong
DC4,Công ty Cổ phần Dicera Holdings,Dicera Holdings,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,FiinPro / Vietcap IQ & Sở GDCK,https://dicera.vn,https://dicera.vn/quan-he-co-dong
DCL,Công ty Cổ phần Dược phẩm Cửu Long,Dược phẩm Cửu Long,HOSE,Dược phẩm và Y tế,Y tế,Dược phẩm,Dược phẩm,4577,FiinPro / Vietcap IQ & Sở GDCK,http://dcl.com.vn,http://dcl.com.vn/quan-he-co-dong
DCM,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,Đạm Cà Mau,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,https://pvcfc.com.vn,https://pvcfc.com.vn/quan-he-co-dong
DGC,Công ty Cổ phần Tập đoàn Hóa chất Đức Giang,Hóa chất Đức Giang,HOSE,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",1357,FiinPro / Vietcap IQ & Sở GDCK,https://ducgiangchem.vn,https://ducgiangchem.vn/quan-he-co-dong
DGW,Công ty Cổ phần Thế Giới Số,Thế Giới Số,HOSE,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,5379,FiinPro / Vietcap IQ & Sở GDCK,https://digiworld.com.vn,https://digiworld.com.vn/quan-he-co-dong
DHA,Công ty Cổ phần Hóa An,Hóa An,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,FiinPro / Vietcap IQ & Sở GDCK,http://hoaan.com.vn,http://hoaan.com.vn/quan-he-co-dong
DHC,Công ty Cổ phần Đông Hải Bến Tre,Đông Hải Bến Tre,HOSE,Nguyên vật liệu,Tài nguyên Cơ bản,Lâm nghiệp và Giấy,Sản xuất giấy,1737,FiinPro / Vietcap IQ & Sở GDCK,https://dohacobentre.com.vn,https://dohacobentre.com.vn/quan-he-co-dong
